2195,"A: YARN, THREAD, FIBRES, CLOTH - NOT FURTHER PROCESSED OR MANUFACTURED/EXCLUSIVELY IN BALES, BOLTS, PIECES -
B: WEARING APPAREL, TEXTILE MANUFACTURES"
2197,"YARN, THREAD, FIBRES, CLOTH - NOT FURTHER PROCESSED OR MANUFACTURED/EXCLUSIVELY IN BALES, BOLTS, PIECES -"
2198,"A: YARN, THREAD, FIBRES, TEXTILES,
B: TEXTILE MANUFACTURES (EXCLUDING WEARING APPAREL)"
2199,"A: YARN, THREAD, FIBRES, TEXTILES,
B: TEXTILE MANUFACTURES
C: WEARING APPAREL"
2200,WEARING APPAREL
2203,"WEARING APPAREL (EXCLUDING UMBRELLAS, BILLFOLDS, PURSES, CARRYING CASES, HANDBAGS, COSTUME JEWELRY, JEWELRY, CANES, WATCHES)"
2204,CLOTHING AND WEARING APPAREL EXCLUDING LEATHER MANUFACTURES
2205,"A: EYELETS, PRESS FASTENERS, RIVETS, BUCKLES, STUDS, POST CAPS, DYES, SOCKETS, SEW-ON-BUTTONS
B: ELECTRIC ATTACHING MACHINE"
2206,"WEARING APPAREL, SHOE LACES, HOOKS, SNAPS, BUTTONS, BUCKLES, ZIP-FASTENERS EXCLUDING FURS, SKINS, BILLFOLDS, CASES, HANDBAGS, PURSES, CANES, UMBRELLAS, COSTUME JEWELRY, JEWELRY, WATCHES"
2207,"WEARING APPAREL, SHOE LACES, HOOKS, SNAPS, BUTTONS,BUCKLES, ZIP-FASTENERS EXCLUDING FOOTWEAR, FURS, SKINS, BILLFOLDS, CASES, HANDBAGS, PURSES, CANES, UMBRELLAS, COSTUME JEWELRY, JEWELRY, WATCHES"
2211,"YARN, THREAD, FIBRES - NOT FURTHER PROCESSED OR MANUFACTURED/EXCLUSIVELY IN BALES, BOLTS, PIECES -,WEARING APPAREL, TEXTILE MANUFACTURES"
2214,"TROUSERS, SHIRTS"
2215,"CLOTH, LADIES CUT DRESSES, SEMI-FINISHED CLOTHING -INCLUDING DRESSMAKING SUPPLIES"
2218,"DRESSES (LADIES, FINISHED)"
2222,"TERRY CLOTH, TERRY ARTICLES"
2234,WEARING APPAREL (FUR/LEATHER)
2243,"OVERCOATS, JACKETS, SKIRTS, SHIRTS, WAISTCOATS, TROUSERS - MADE OF LEATHER -"
2292,"BLOUSES, JACKETS, JEANS, SKIRTS, TROUSERS, WAISTCOATS - MADE OF COTTON -"
2306,"CORSETS, GIRDLES, BRASSIERES"
2309,CHILDRENS WEARING APPAREL
2311,"WEARING APPAREL, TEXTILE MANUFACTURES - ON HANGERS -"
2332,"GLOVES, MITTENS"
2350,HATS
2360,"STOCKINGS, ANKLETS, PEDS, SOCKS"
2367,"HOSE, PANTYHOSE"
2408,"SHIRTS, BLOUSES, UNDERWEAR"
2415,SHOES
2420,"SHOES, SLIPPERS"
2426,"SOLES (FOR SHOES, SLIPPERS)"
2451,WOOLLEN KNITTED SWEATERS AND DRESSES
2452,"PULLOVERS, CARDIGANS"
2455,WEARING APPAREL (KNITTED)
2461,"UNDERWEAR, SWIMWEAR, BODY SUPPORTING GARMENTS"
2500,"DRAWNWORK, NEEDLEWORK, EMBROIDERIES, LACE"
2600,TEXTILE ARTICLES (FINISHED/EXCLUDING WEARING APPAREL)
2627,GAS MANTLES
2700,"HAIR, HAIR MANUFACTURES"
2741,"TOUPEES, WIGS, SWITCHES, FALSE EYELASHES"
2811,"BLANKETS, BED SHEETS, BEDSPREADS, PILLOW-CASES, MOSQUITO NETS, TOWELS"
2865,"CARPETS, RUGS"
2920,CANVAS ARTICLES
2949,"CLOTH BLANKETS, CLOTH SLEEPING BAGS"
3002,"METAL INGOTS, METAL GRAIN (SEMI-FINISHED), SHEET, FOIL, POWDER, SPONGE, WIRE, ROD, TUBE, CIRCLES, CASTINGS EXCLUDING GOLD, PLATINUM, PLATINUM ALLOYS"
3004,WIRE CLOTH
3011,"PLATINOID MINERAL CONCENTRATES, MATTE"
3015,"SILVER BULLION, SILVER INGOTS, SILVER SPECIE - SEMI-FINISHED -, SILVER (IN GRAIN, SHEET, FOIL, POWDER, SPONGE, WIRE, ROD, TUBE, CIRCLES, CASTINGS)"
3025,"METAL WARES (EXCLUDING GOLD, PLATINUM, PLATINUM MATERIALS)"
3030,COPPER MANUFACTURES
3032,"COPPER (IN SLABS, SEMI-FINISHED PRODUCTS, PLATES, SHEETS, WIRE, ROD, TUBE, CIRCLES, CASTINGS)"
3034,COPPER ORE
3038,"COPPER WIRE, COPPER CABLE"
3050,BRASS MANUFACTURES
3060,ALUMINUM MANUFACTURES
3075,"EXTRUSIONS, HONEYCOMB SHEETS, SHEETS, FOIL, PLATES, TUBES, RODS, WIRE, BARS, MESH, SCREEN, STEEL SCREEN MESH - MADE OF ALUMINUM, ALUMINUM ALLOYS -"
3100,CUTLERY
3101,"CUTLERY, FORKS, SPOONS EXCLUDING SILVERWARE"
3127,"RAZORS, RAZOR BLADES"
3150,"TABLE FLATWARE, BRONZEWARE"
3153,"ELECTROPLATED NICKEL SILVERWARE, TABLEWARE, TROPHIES, CUPS, SHIELDS, MEDALS"
3206,"LAWN SPRINKLERS, PISTOL NOZZLES/CONNECTORS, BASES USED FOR SPRINKLING EQUIPMENT"
3236,DRILL BITS
3300,HARDWARE
3321,"BUILDING MATERIALS, FIXTURES, FITTINGS EXCLUDING TOOLS"
3341,BATHROOM SHOWER SETS
3400,"HOUSEHOLD UTENSILS, TABLE UTENSILS, KITCHEN UTENSILS, HOSPITAL UTENSILS"
3404,"TABLE UTENSILS, KITCHEN UTENSILS - MADE OF STAINLESS STEEL - EXCLUDING MACHINERY, ELECTRIC EQUIPMENT"
3409,"KITCHEN UTENSILS, TABLE UTENSILS, VASES, EXCLUDING ELECTRIC EQUIPMENT"
3411,METAL KITCHENWARE
3501,"DOOR LOCKS, HANDLES"
3503,"PUMPING FIXTURES, PIPE FIXTURES"
3504,HARDWARE FOR FURNITURE
3574,"PARTS FOR REFRIGERATORS, PARTS FOR COOKERS"
3890,COBALT
3895,"ORE (EXCLUDING GOLD, SILVER, PLATINUM)"
3896,SILVER ORE
3900,METAL PRODUCTS (MISCELLANEOUS)
3963,"MOULDS, DYES"
3969,LOCKS
3991,"CABLE, MESH, RIVETS, SHEETS, TUBINGS, WIRE, RODS, CIRCLES - MADE OF METAL - EXCLUDING GOLD, SILVER, PLATINUM, PLATINUM METALS"
4010,"BUSINESS MACHINERY, OFFICE MACHINERY - INCLUDING SUPPLIES -, MACHINERY, TOOLS, SURFACE VEHICLES (EXCLUDING STEAMSHIP MACHINERY, MOTORSHIP MACHINERY SPARE PARTS)"
4105,AIRCRAFT
4107,HELICOPTER SPARES
4108,AIRCRAFT PARTS (EXCLUDING AIRCRAFT ENGINES)
4109,"AIRCRAFT ENGINES, AIRCRAFT PARTS (EXCLUDING TAIL ASSEMBLIES, STABILIZERS, STABILATORS, FUSELAGES, WINGS)"
4110,"AIRCRAFT ENGINES, AIRCRAFT PARTS (EXCLUDING FUSELAGES, WINGS)"
4112,"AIRCRAFT ENGINES, AIRCRAFT PARTS (INCLUDING ACCESSORIES) EXCLUDING OVERHAUL TOOLS, MAINTENANCE TOOLS, SUPPLIES, FUSELAGES, WINGS"
4119,AIRCRAFT PARTS
4123,AIRCRAFT PARTS (INCLUDING ACCESSORIES)
4181,OUTBOARD MOTORS (INCLUDING ACCESSORIES)
