unid,var,nameADR,qdtADR,ccodeADR,classADR,labelADR,pgADR,lqADR,sprovADR,eqADR,piADR,mixpADR,ppADR,tiADR,adrtADR,tpADR,adrtpADR,tankvADR,tcatADR,pprovADR,bprovADR,lprovADR,oprovADR,hinADR
1202,b,DIESEL FUEL,,F1,3,3,III,5 L,640K/L/M 664,E1,P001 IBC03 LP01 R001,MP19,,T2,LGB*,TP1,,FL/AT,3 (D/E),V12,,,S2*,30
1202,c,"HEATING OIL, LIGHT",,F1,3,3,III,5 L,640K/L/M 664,E1,P001 IBC03 LP01 R001,MP19,,T2,LGB*,TP1,,FL/AT,3 (D/E),V12,,,S2*,30
1203,a,MOTOR SPIRIT,,F1,3,3,II,1 L,243 534 664,E2,P001 IBC02 R001,MP19,BB2,T4,LGBF,TP1,TU9,FL,2 (D/E),,,,S2 S20,33
1203,b,GASOLINE,,F1,3,3,II,1 L,243 534 664,E2,P001 IBC02 R001,MP19,BB2,T4,LGBF,TP1,TU9,FL,2 (D/E),,,,S2 S20,33
1203,c,PETROL,,F1,3,3,II,1 L,243 534 664,E2,P001 IBC02 R001,MP19,BB2,T4,LGBF,TP1,TU9,FL,2 (D/E),,,,S2 S20,33
1204,,NITROGLYCERIN SOLUTION IN ALCOHOL,with not more than 1% nitroglycerin,D,3,3,II,1 L,601,E0,P001 IBC02,MP2,PP5,,,,,,2 (B),,,,S2 S14,
1206,,HEPTANES,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1207,,HEXALDEHYDE,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1208,,HEXANES,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1210,a,PRINTING INK,flammable,F1,3,3,I,500 mL,163 367,E3,P001,MP7 MP17,,T11,L4BN,TP1 TP8,,FL,1 (D/E),,,,S2 S20,33
1210,b,PRINTING INK RELATED MATERIAL,"(including printing ink thinning or reducing compound), flammable",F1,3,3,I,500 mL,163 367,E3,P001,MP7 MP17,,T11,L4BN,TP1 TP8,,FL,1 (D/E),,,,S2 S20,33
1210,c,PRINTING INK,flammable,F1,3,3,II,5 L,163 367 640C/D,E2,P001 IBC02* R001*,MP19,PP1,T4,L1.5BN/LGBF,TP1 TP8,,FL,2 (D/E),,,,S2 S20,33
1210,d,PRINTING INK RELATED MATERIAL,"(including printing ink thinning or reducing compound), flammable",F1,3,3,II,5 L,163 367 640C/D,E2,P001 IBC02* R001*,MP19,PP1,T4,L1.5BN/LGBF,TP1 TP8,,FL,2 (D/E),,,,S2 S20,33
1210,e,PRINTING INK,flammable,F1,3,3,III,5 L,163 367,E1,P001 IBC03 LP01 R001,MP19,PP1,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1210,f,PRINTING INK RELATED MATERIAL,"(including printing ink thinning or reducing compound), flammable",F1,3,3,III,5 L,163 367,E1,P001 IBC03 LP01 R001,MP19,PP1,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1212,a,ISOBUTANOL,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1212,b,ISOBUTYL ALCOHOL,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1213,,ISOBUTYL ACETATE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1214,,ISOBUTYLAMINE,,FC,3,3+8,II,1 L,,E2,P001 IBC02,MP19,,T7,L4BH,TP1,,FL,2 (D/E),,,,S2 S20,338
1216,,ISOOCTENES,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1218,,"ISOPRENE, STABILIZED",,F1,3,3,I,0,386 676,E3,P001,MP7 MP17,,T11,L4BN,TP2,,FL,1 (D/E),V8,,,S2 S4 S20,339
1219,a,ISOPROPANOL,,F1,3,3,II,1 L,601,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1219,b,ISOPROPYL ALCOHOL,,F1,3,3,II,1 L,601,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1220,,ISOPROPYL ACETATE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1221,,ISOPROPYLAMINE,,FC,3,3+8,I,0,,E0,P001,MP7 MP17,,T11,L10CH,TP2,TU14 TE21,FL,1 (C/E),,,,S2 S20,338
1222,,ISOPROPYL NITRATE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,B7,,,,,,2 (E),,,,S2 S20,
1223,,KEROSENE,,F1,3,3,III,5 L,664,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP2,,FL,3 (D/E),V12,,,S2,30
1224,a,"KETONES, LIQUID, N.O.S.",,F1,3,3,II,1 L,274 640C/D,E2,P001 IBC02* R001*,MP19,,T7,L1.5BN/LGBF,TP1 TP8 TP28,,FL,2 (D/E),,,,S2 S20,33
1224,b,"KETONES, LIQUID, N.O.S.",,F1,3,3,III,5 L,274,E1,P001 IBC03 LP01 R001,MP19,,T4,LGBF,TP1 TP29,,FL,3 (D/E),V12,,,S2,30
1228,a,"MERCAPTANS, LIQUID, FLAMMABLE, TOXIC, N.O.S.",,FT1,3,3+6.1,II,1 L,274,E0,P001 IBC02,MP19,,T11,L4BH,TP2 TP27,TU15,FL,2 (D/E),,,CV13 CV28,S2 S19,336
1228,b,"MERCAPTAN MIXTURE, LIQUID, FLAMMABLE, TOXIC, N.O.S.",,FT1,3,3+6.1,II,1 L,274,E0,P001 IBC02,MP19,,T11,L4BH,TP2 TP27,TU15,FL,2 (D/E),,,CV13 CV28,S2 S19,336
1228,c,"MERCAPTANS, LIQUID, FLAMMABLE, TOXIC, N.O.S.",,FT1,3,3+6.1,III,5 L,274,E1,P001 IBC03 R001,MP19,,T7,L4BH,TP1 TP28,TU15,FL,3 (D/E),V12,,CV13 CV28,S2,36
1228,d,"MERCAPTAN MIXTURE, LIQUID, FLAMMABLE, TOXIC, N.O.S.",,FT1,3,3+6.1,III,5 L,274,E1,P001 IBC03 R001,MP19,,T7,L4BH,TP1 TP28,TU15,FL,3 (D/E),V12,,CV13 CV28,S2,36
1229,,MESITYL OXIDE,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1230,,METHANOL,,FT1,3,3+6.1,II,1 L,279,E2,P001 IBC02,MP19,,T7,L4BH,TP2,TU15,FL,2 (D/E),,,CV13 CV28,S2 S19,336
1231,,METHYL ACETATE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1233,,METHYLAMYL ACETATE,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1234,,METHYLAL,,F1,3,3,II,1 L,,E2,P001 IBC02,MP19,B8,T7,L1.5BN,TP2,,FL,2 (D/E),,,,S2 S20,33
1235,,"METHYLAMINE, AQUEOUS SOLUTION",,FC,3,3+8,II,1 L,,E2,P001 IBC02,MP19,,T7,L4BH,TP1,,FL,2 (D/E),,,,S2 S20,338
1237,,METHYL BUTYRATE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1238,,METHYL CHLOROFORMATE,,TFC,6.1,6.1+3+8,I,0,354,E0,P602,MP8 MP17,,T22,L15CH,TP2,TU14 TU15 TE19 TE21,FL,1 (C/D),,,CV1 CV13 CV28,S2 S9 S14,663
1239,,METHYL CHLOROMETHYL ETHER,,TF1,6.1,6.1+3,I,0,354,E0,P602,MP8 MP17,,T22,L15CH,TP2,TU14 TU15 TE19 TE21,FL,1 (C/D),,,CV1 CV13 CV28,S2 S9 S14,663
1242,,METHYLDICHLOROSILANE,,WFC,4.3,4.3+3+8,I,0,,E0,P401,MP2,RR7,T14,L10DH,TP2 TP7,TU14 TU24 TE21 TM2 TM3,FL,0 (B/E),V1,,CV23,S2 S20,X338
1243,,METHYL FORMATE,,F1,3,3,I,0,,E3,P001,MP7 MP17,,T11,L4BN,TP2,,FL,1 (D/E),,,,S2 S20,33
1244,,METHYLHYDRAZINE,,TFC,6.1,6.1+3+8,I,0,354,E0,P602,MP8 MP17,,T22,L15CH,TP2,TU14 TU15 TE19 TE21,FL,1 (C/D),,,CV1 CV13 CV28,S2 S9 S14,663
1245,,METHYL ISOBUTYL KETONE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1246,,"METHYL ISOPROPENYL KETONE, STABILIZED",,F1,3,3,II,1 L,386 676,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),V8,,,S2 S4 S20,339
1247,,"METHYL METHACRYLATE MONOMER, STABILIZED",,F1,3,3,II,1 L,386 676,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),V8,,,S2 S4 S20,339
1248,,METHYL PROPIONATE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1249,,METHYL PROPYL KETONE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1250,,METHYLTRICHLOROSILANE,,FC,3,3+8,II,0,,E0,P010,MP19,,T10,L4BH,TP2 TP7,,FL,2 (D/E),,,,S2 S20,X338
1251,,"METHYL VINYL KETONE, STABILIZED",,TFC,6.1,6.1+3+8,I,0,354 386 676,E0,P601,MP8 MP17,RR7,T22,L15CH,TP2,TU14 TU15 TE19 TE21,FL,1 (C/D),V8,,CV1 CV13 CV28,S2 S4 S9 S14,639
1259,,NICKEL CARBONYL,,TF1,6.1,6.1+3,I,0,,E0,P601,MP2,,,L15CH,,TU14 TU15 TU31 TE19 TE21 TM3,FL,1 (C/D),,,CV1 CV13 CV28,S2 S9 S14,663
1261,,NITROMETHANE,,F1,3,3,II,1 L,,E0,P001 R001,MP19,RR2,,,,,,2 (E),,,,S2 S20,
1262,,OCTANES,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1263,a,PAINT,"(including paint, lacquer, enamel, stain, shellac, varnish, polish, liquid filler and liquid lacquer base)",F1,3,3,I,500 mL,163 367 650,E3,P001,MP7 MP17,,T11,L4BN,TP1 TP8 TP27,,FL,1 (D/E),,,,S2 S20,33
1263,b,PAINT RELATED MATERIAL,(including paint thinning or reducing compound),F1,3,3,I,500 mL,163 367 650,E3,P001,MP7 MP17,,T11,L4BN,TP1 TP8 TP27,,FL,1 (D/E),,,,S2 S20,33
1263,c,PAINT,"(including paint, lacquer, enamel, stain, shellac, varnish, polish, liquid filler and liquid lacquer base)",F1,3,3,II,5 L,163 367 640C/D 650,E2,P001 IBC02* R001*,MP19,PP1,T4,L1.5BN/LGBF,TP1 TP8 TP28,,FL,2 (D/E),,,,S2 S20,33
1263,d,PAINT RELATED MATERIAL,(including paint thinning or reducing compound),F1,3,3,II,5 L,163 367 640C/D 650,E2,P001 IBC02* R001*,MP19,PP1,T4,L1.5BN/LGBF,TP1 TP8 TP28,,FL,2 (D/E),,,,S2 S20,33
1263,e,PAINT,"(including paint, lacquer, enamel, stain, shellac, varnish, polish, liquid filler and liquid lacquer base)",F1,3,3,III,5 L,163 367 650,E1,P001 IBC03 LP01 R001,MP19,PP1,T2,LGBF,TP1 TP29,,FL,3 (D/E),V12,,,S2,30
1263,f,PAINT RELATED MATERIAL,(including paint thinning or reducing compound),F1,3,3,III,5 L,163 367 650,E1,P001 IBC03 LP01 R001,MP19,PP1,T2,LGBF,TP1 TP29,,FL,3 (D/E),V12,,,S2,30
1264,,PARALDEHYDE,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1265,a,PENTANES,liquid,F1,3,3,I,0,,E3,P001,MP7 MP17,,T11,L4BN,TP2,,FL,1 (D/E),,,,S2 S20,33
1265,b,PENTANES,liquid,F1,3,3,II,1 L,,E2,P001 IBC02,MP19,B8,T4,L1.5BN,TP1,,FL,2 (D/E),,,,S2 S20,33
1266,a,PERFUMERY PRODUCTS,with flammable solvents,F1,3,3,II,5 L,163 640C/D,E2,P001 IBC02* R001*,MP19,,T4,L1.5BN/LGBF,TP1 TP8,,FL,2 (D/E),,,,S2 S20,33
1266,b,PERFUMERY PRODUCTS,with flammable solvents,F1,3,3,III,5 L,163,E1,P001 IBC02* LP01* R001,MP19,BB4*,T2*,LGBF*,TP1*,,FL*,3 (D/E)*,V12,,,S2,30*
1267,a,PETROLEUM CRUDE OIL,,F1,3,3,I,500 mL,357,E3,P001,MP7 MP17,,T11,L4BN,TP1 TP8,,FL,1 (D/E),,,,S2 S20,33
1267,b,PETROLEUM CRUDE OIL,,F1,3,3,II,1 L,357 640C/D,E2,P001 IBC02* R001*,MP19,,T4,L1.5BN/LGBF,TP1 TP8,,FL,2 (D/E),,,,S2 S20,33
1267,c,PETROLEUM CRUDE OIL,,F1,3,3,III,5 L,357,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1268,a,"PETROLEUM DISTILLATES, N.O.S.",,F1,3,3,I,500 mL,664,E3,P001,MP7 MP17,,T11,L4BN,TP1 TP8,,FL,1 (D/E),,,,S2 S20,33
1268,b,"PETROLEUM PRODUCTS, N.O.S.",,F1,3,3,I,500 mL,664,E3,P001,MP7 MP17,,T11,L4BN,TP1 TP8,,FL,1 (D/E),,,,S2 S20,33
1268,c,"PETROLEUM DISTILLATES, N.O.S.",,F1,3,3,II,1 L,640C/D 664,E2,P001 IBC02* R001*,MP19,,T7,L1.5BN/LGBF,TP1 TP8 TP28,,FL,2 (D/E),,,,S2 S20,33
1268,d,"PETROLEUM PRODUCTS, N.O.S.",,F1,3,3,II,1 L,640C/D 664,E2,P001 IBC02* R001*,MP19,,T7,L1.5BN/LGBF,TP1 TP8 TP28,,FL,2 (D/E),,,,S2 S20,33
1268,e,"PETROLEUM DISTILLATES, N.O.S.",,F1,3,3,III,5 L,664,E1,P001 IBC03 LP01 R001,MP19,,T4,LGBF,TP1 TP29,,FL,3 (D/E),V12,,,S2,30
1268,f,"PETROLEUM PRODUCTS, N.O.S.",,F1,3,3,III,5 L,664,E1,P001 IBC03 LP01 R001,MP19,,T4,LGBF,TP1 TP29,,FL,3 (D/E),V12,,,S2,30
1272,,PINE OIL,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1274,a,n-PROPANOL,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1274,b,"PROPYL ALCOHOL, NORMAL",,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1274,c,n-PROPANOL,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1274,d,"PROPYL ALCOHOL, NORMAL",,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1275,,PROPIONALDEHYDE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T7,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1276,,n-PROPYL ACETATE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1277,,PROPYLAMINE,,FC,3,3+8,II,1 L,,E2,P001 IBC02,MP19,,T7,L4BH,TP1,,FL,2 (D/E),,,,S2 S20,338
1278,,1-CHLOROPROPANE,,F1,3,3,II,1 L,,E0,P001 IBC02,MP19,B8,T7,L1.5BN,TP2,,FL,2 (D/E),,,,S2 S20,33
1279,,"1,2-DICHLOROPROPANE",,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1280,,PROPYLENE OXIDE,,F1,3,3,I,0,,E3,P001,MP7 MP17,,T11,L4BN,TP2 TP7,,FL,1 (D/E),,,,S2 S20,33
1281,,PROPYL FORMATES,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1282,,PYRIDINE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP2,,FL,2 (D/E),,,,S2 S20,33
1286,a,ROSIN OIL,,F1,3,3,II,5 L,640C/D,E2,P001* IBC02 R001*,MP19,,T4,L1.5BN/LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1286,b,ROSIN OIL,,F1,3,3,III,5 L,,E1,IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1287,a,RUBBER SOLUTION,,F1,3,3,II,5 L,640C/D,E2,P001 IBC02* R001*,MP19,,T4,L1.5BN/LGBF,TP1 TP8,,FL,2 (D/E),,,,S2 S20,33
1287,b,RUBBER SOLUTION,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1288,a,SHALE OIL,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1 TP8,,FL,2 (D/E),,,,S2 S20,33
1288,b,SHALE OIL,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1289,a,SODIUM METHYLATE SOLUTION,in alcohol,FC,3,3+8,II,1 L,,E2,P001 IBC02,MP19,,T7,L4BH,TP1 TP8,,FL,2 (D/E),,,,S2 S20,338
1289,b,SODIUM METHYLATE SOLUTION,in alcohol,FC,3,3+8,III,5 L,,E1,P001 IBC02 R001,MP19,,T4,L4BN,TP1,,FL,3 (D/E),,,,S2,38
1292,,TETRAETHYL SILICATE,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1293,a,"TINCTURES, MEDICINAL",,F1,3,3,II,1 L,601,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1 TP8,,FL,2 (D/E),,,,S2 S20,33
1293,b,"TINCTURES, MEDICINAL",,F1,3,3,III,5 L,601,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1294,,TOLUENE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1295,,TRICHLOROSILANE,,WFC,4.3,4.3+3+8,I,0,,E0,P401,MP2,RR7,T14,L10DH,TP2 TP7,TU14 TU25 TE21 TM2 TM3,FL,0 (B/E),V1,,CV23,S2 S20,X338
1296,,TRIETHYLAMINE,,FC,3,3+8,II,1 L,,E2,P001 IBC02,MP19,,T7,L4BH,TP1,,FL,2 (D/E),,,,S2 S20,338
1297,a,"TRIMETHYLAMINE, AQUEOUS SOLUTION","not more than 50% trimethylamine, by mass",FC,3,3+8,I,0,,E0,P001,MP7 MP17,,T11,L10CH,TP1,TU14 TE21,FL,1 (C/E),,,,S2 S20,338
1297,b,"TRIMETHYLAMINE, AQUEOUS SOLUTION","not more than 50% trimethylamine, by mass",FC,3,3+8,II,1 L,,E2,P001 IBC02,MP19,,T7,L4BH,TP1,,FL,2 (D/E),,,,S2 S20,338
1297,c,"TRIMETHYLAMINE, AQUEOUS SOLUTION","not more than 50% trimethylamine, by mass",FC,3,3+8,III,5 L,,E1,P001 IBC03 R001,MP19,,T7,L4BN,TP1,,FL,3 (D/E),V12,,,S2,38
1298,,TRIMETHYLCHLOROSILANE,,FC,3,3+8,II,0,,E0,P010,MP19,,T10,L4BH,TP2 TP7,,FL,2 (D/E),,,,S2 S20,X338
1299,,TURPENTINE,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1300,a,TURPENTINE SUBSTITUTE,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1300,b,TURPENTINE SUBSTITUTE,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1301,,"VINYL ACETATE, STABILIZED",,F1,3,3,II,1 L,386 676,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),V8,,,S2 S4 S20,339
1302,,"VINYL ETHYL ETHER, STABILIZED",,F1,3,3,I,0,386 676,E3,P001,MP7 MP17,,T11,L4BN,TP2,,FL,1 (D/E),V8,,,S2 S4 S20,339
1303,,"VINYLIDENE CHLORIDE, STABILIZED",,F1,3,3,I,0,386 676,E3,P001,MP7 MP17,,T12,L4BN,TP2 TP7,,FL,1 (D/E),V8,,,S2 S4 S20,339
1304,,"VINYL ISOBUTYL ETHER, STABILIZED",,F1,3,3,II,1 L,386 676,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),V8,,,S2 S4 S20,339
1305,,VINYLTRICHLOROSILANE,,FC,3,3+8,II,0,,E0,P010,MP19,,T10,L4BH,TP2 TP7,,FL,2 (D/E),,,,S2 S20,X338
1306,a,"WOOD PRESERVATIVES, LIQUID",,F1,3,3,II,5 L,640C/D,E2,P001 IBC02* R001*,MP19,,T4,L1.5BN/LGBF,TP1 TP8,,FL,2 (D/E),,,,S2 S20,33
1306,b,"WOOD PRESERVATIVES, LIQUID",,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1307,a,XYLENES,,F1,3,3,II,1 L,,E2,P001 IBC02 R001,MP19,,T4,LGBF,TP1,,FL,2 (D/E),,,,S2 S20,33
1307,b,XYLENES,,F1,3,3,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
1308,a,ZIRCONIUM SUSPENDED IN A FLAMMABLE LIQUID,,F1,3,3,I,0,,E0,P001,MP7 MP17,PP33,,L4BN,,,FL,1 (D/E),,,,S2 S20,33
1308,b,ZIRCONIUM SUSPENDED IN A FLAMMABLE LIQUID,,F1,3,3,II,1 L,640C/D,E2,P001 R001,MP19,PP33,,L1.5BN/LGBF,,,FL,2 (D/E),,,,S2 S20,33
1308,c,ZIRCONIUM SUSPENDED IN A FLAMMABLE LIQUID,,F1,3,3,III,5 L,,E1,P001 R001,MP19,,,LGBF,,,FL,3 (D/E),,,,S2,30
1309,a,"ALUMINIUM POWDER, COATED",,F3,4.1,4.1,II,1 kg,,E2,P002 IBC08,MP11,PP38 B4,T3,SGAN,TP33,,AT,2 (E),V11,,,,40
1309,b,"ALUMINIUM POWDER, COATED",,F3,4.1,4.1,III,5 kg,,E1,P002 IBC08 LP02 R001,MP11,PP11 B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1310,,"AMMONIUM PICRATE, WETTED","with not less than 10% water, by mass",D,4.1,4.1,I,0,,E0,P406,MP2,PP26,,,,,,1 (B),,,,S14,
1312,,BORNEOL,,F1,4.1,4.1,III,5 kg,,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1313,,CALCIUM RESINATE,,F3,4.1,4.1,III,5 kg,,E1,P002 IBC06 R001,MP11,,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1314,,"CALCIUM RESINATE, FUSED",,F3,4.1,4.1,III,5 kg,,E1,P002 IBC04 R001,MP11,,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1318,,"COBALT RESINATE, PRECIPITATED",,F3,4.1,4.1,III,5 kg,,E1,P002 IBC06 R001,MP11,,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1320,,"DINITROPHENOL, WETTED","with not less than 15% water, by mass",DT,4.1,4.1+6.1,I,0,,E0,P406,MP2,PP26,,,,,,1 (B),,,CV28,S14,
1321,,"DINITROPHENOLATES, WETTED","with not less than 15% water, by mass",DT,4.1,4.1+6.1,I,0,,E0,P406,MP2,PP26,,,,,,1 (B),,,CV28,S14,
1322,,"DINITRORESORCINOL, WETTED","with not less than 15% water, by mass",D,4.1,4.1,I,0,,E0,P406,MP2,PP26,,,,,,1 (B),,,,S14,
1323,,FERROCERIUM,,F3,4.1,4.1,II,1 kg,249,E2,P002 IBC08,MP11,B4,T3,SGAN,TP33,,AT,2 (E),V11,,,,40
1324,,"FILMS, NITROCELLULOSE BASE","gelatin coated, except scrap",F1,4.1,4.1,III,5 kg,,E1,P002 R001,MP11,PP15,,,,,,3 (E),,,,,
1325,a,"FLAMMABLE SOLID, ORGANIC, N.O.S.",,F1,4.1,4.1,II,1 kg,274,E2,P002 IBC08,MP10,B4,T3,SGAN,TP33,,AT,2 (E),V11,,,,40
1325,b,"FLAMMABLE SOLID, ORGANIC, N.O.S.",,F1,4.1,4.1,II,1 kg,274,E2,P002 IBC08,MP10,B4,T3,SGAN,TP33,,AT,2 (E),V11,,,,40
1325,c,"FLAMMABLE SOLID, ORGANIC, N.O.S.",,F1,4.1,4.1,III,5 kg,274,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1325,d,"FLAMMABLE SOLID, ORGANIC, N.O.S.",,F1,4.1,4.1,III,5 kg,274,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1326,,"HAFNIUM POWDER, WETTED",with not less than 25% water,F3,4.1,4.1,II,1 kg,586,E2,P410 IBC06,MP11,PP40,T3,SGAN,TP33,,AT,2 (E),V11,,,,40
1327,a,"Hay, Straw or Bhusa",,F1,4.1,,,,,,,,,,Not subject to ADR,,,,,,,,,
1327,b,"Hay, Straw or Bhusa",,F1,4.1,,,,,,,,,,Not subject to ADR,,,,,,,,,
1327,c,"Hay, Straw or Bhusa",,F1,4.1,,,,,,,,,,Not subject to ADR,,,,,,,,,
1328,,HEXAMETHYLENETETRAMINE,,F1,4.1,4.1,III,5 kg,,E1,P002 IBC08 R001,MP10,B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1330,,MANGANESE RESINATE,,F3,4.1,4.1,III,5 kg,,E1,P002 IBC06 R001,MP11,,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
1331,,"MATCHES, ""STRIKE ANYWHERE""",,F1,4.1,4.1,III,5 kg,293,E0,P407,MP12,PP27,,,,,,4 (E),,,,,
