unid,var,nameADR,qdtADR,ccodeADR,classADR,labelADR,pgADR,lqADR,sprovADR,eqADR,piADR,mixpADR,ppADR,tiADR,adrtADR,tpADR,adrtpADR,tankvADR,tcatADR,pprovADR,bprovADR,lprovADR,oprovADR,hinADR
3145,c,"ALKYLPHENOLS, LIQUID, N.O.S.",(including C2-C12 homologues),C3,8,8,III,5 L,,E1,P001 IBC03 LP01 R001,MP19,,T7,L4BN,TP1 TP28,,AT,3 (E),V12,,,,80
3146,a,"ORGANOTIN COMPOUND, SOLID, N.O.S.",,T3,6.1,6.1,I,0,43 274,E5,P002 IBC07,MP18,,T6,S10AH L10CH,TP33,TU14 TU15 TE19 TE21,AT,1 (C/E),V10,,CV1 CV13 CV28,S9 S14,66
3146,b,"ORGANOTIN COMPOUND, SOLID, N.O.S.",,T3,6.1,6.1,II,500 g,43 274,E4,P002 IBC08,MP10,B4,T3,SGAH L4BH,TP33,TU15 TE19,AT,2 (D/E),V11,,CV13 CV28,S9 S19,60
3146,c,"ORGANOTIN COMPOUND, SOLID, N.O.S.",,T3,6.1,6.1,III,5 kg,43 274,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAH L4BH,TP33,TU15 TE19,AT,2 (E),,VC1 VC2 AP7,CV13 CV28,S9,60
3147,a,"DYE, SOLID, CORROSIVE, N.O.S.",,C10,8,8,I,0,274,E0,P002 IBC07,MP18,,T6,S10AN L10BH,TP33,,AT,1 (E),V10,,,S20,88
3147,b,"DYE INTERMEDIATE, SOLID, CORROSIVE, N.O.S.",,C10,8,8,I,0,274,E0,P002 IBC07,MP18,,T6,S10AN L10BH,TP33,,AT,1 (E),V10,,,S20,88
3147,c,"DYE, SOLID, CORROSIVE, N.O.S.",,C10,8,8,II,1 kg,274,E2,P002 IBC08,MP10,B4,T3,SGAN L4BN,TP33,,AT,2 (E),V11,,,,80
3147,d,"DYE INTERMEDIATE, SOLID, CORROSIVE, N.O.S.",,C10,8,8,II,1 kg,274,E2,P002 IBC08,MP10,B4,T3,SGAN L4BN,TP33,,AT,2 (E),V11,,,,80
3147,e,"DYE, SOLID, CORROSIVE, N.O.S.",,C10,8,8,III,5 kg,274,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAV L4BN,TP33,,AT,3 (E),,VC1 VC2 AP7,,,80
3147,f,"DYE INTERMEDIATE, SOLID, CORROSIVE, N.O.S.",,C10,8,8,III,5 kg,274,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAV L4BN,TP33,,AT,3 (E),,VC1 VC2 AP7,,,80
3148,a,"WATER-REACTIVE LIQUID, N.O.S.",,W1,4.3,4.3,I,0,274,E0,P402,MP2,RR8,T13,L10DH,TP2 TP7,TU14 TE21 TM2,AT,0 (B/E),V1,,CV23,S20,X323
3148,b,"WATER-REACTIVE LIQUID, N.O.S.",,W1,4.3,4.3,II,500 mL,274,E2,P402 IBC01,MP15,RR8,T7,L4DH,TP2 TP7,TU14 TE21 TM2,AT,0 (D/E),V1,,CV23,,323
3148,c,"WATER-REACTIVE LIQUID, N.O.S.",,W1,4.3,4.3,III,1 L,274,E1,P001 IBC02 R001,MP15,,T7,L4DH,TP2 TP7,TU14 TE21 TM2,AT,0 (E),V1,,CV23,,323
3149,,"HYDROGEN PEROXIDE AND PEROXYACETIC ACID MIXTURE, STABILIZED","with acid(s), water and not more than 5% peroxyacetic acid",OC1,5.1,5.1+8,II,1 L,196 553,E2,P504 IBC02,MP15,PP10 B5,T7,L4BV(+),TP2 TP6 TP24,TU3 TC2 TE8 TE11 TT1,AT,2 (E),,,CV24,,58
3150,a,"DEVICES, SMALL, HYDROCARBON GAS POWERED",with release device,6F,2,2.1,,0,,E0,P209,MP9,,,,,,,2 (D),,,CV9,S2,
3150,b,HYDROCARBON GAS REFILLS FOR SMALL DEVICES,with release device,6F,2,2.1,,0,,E0,P209,MP9,,,,,,,2 (D),,,CV9,S2,
3151,a,"POLYHALOGENATED BIPHENYLS, LIQUID",,M2,9,9,II,1 L,203 305,E2,P906 IBC02,MP15,,,L4BH,,TU15,AT,0 (D/E),,VC1 VC2 AP9,CV1 CV13 CV28,S19,90
3151,b,"HALOGENATED MONOMETHYLDIPHENYLMETHANES, LIQUID",,M2,9,9,II,1 L,203 305,E2,P906 IBC02,MP15,,,L4BH,,TU15,AT,0 (D/E),,VC1 VC2 AP9,CV1 CV13 CV28,S19,90
3151,c,"POLYHALOGENATED TERPHENYLS, LIQUID",,M2,9,9,II,1 L,203 305,E2,P906 IBC02,MP15,,,L4BH,,TU15,AT,0 (D/E),,VC1 VC2 AP9,CV1 CV13 CV28,S19,90
3152,a,"POLYHALOGENATED BIPHENYLS, SOLID",,M2,9,9,II,1 kg,203 305,E2,P906 IBC08,MP10,B4,T3,S4AH L4BH,TP33,TU15,AT,0 (D/E),V11,VC1 VC2 AP9,CV1 CV13 CV28,S19,90
3152,b,"HALOGENATED MONOMETHYLDIPHENYLMETHANES, SOLID",,M2,9,9,II,1 kg,203 305,E2,P906 IBC08,MP10,B4,T3,S4AH L4BH,TP33,TU15,AT,0 (D/E),V11,VC1 VC2 AP9,CV1 CV13 CV28,S19,90
3152,c,"POLYHALOGENATED TERPHENYLS, SOLID",,M2,9,9,II,1 kg,203 305,E2,P906 IBC08,MP10,B4,T3,S4AH L4BH,TP33,TU15,AT,0 (D/E),V11,VC1 VC2 AP9,CV1 CV13 CV28,S19,90
3153,,PERFLUORO(METHYL VINYL ETHER),,2F,2,2.1,,0,662,E0,P200,MP9,,(M) T50,PxBN(M),,TA4 TT9,FL,2 (B/D),,,CV9 CV10 CV36,S2 S20,23
3154,,PERFLUORO(ETHYL VINYL ETHER),,2F,2,2.1,,0,662,E0,P200,MP9,,(M),PxBN(M),,TA4 TT9,FL,2 (B/D),,,CV9 CV10 CV36,S2 S20,23
3155,,PENTACHLOROPHENOL,,T2,6.1,6.1,II,500 g,43,E4,P002 IBC08,MP10,B4,T3,SGAH,TP33,TU15 TE19,AT,2 (D/E),V11,,CV13 CV28,S9 S19,60
3156,,"COMPRESSED GAS, OXIDIZING, N.O.S.",,1O,2,2.2+5.1,,0,274 655 662,E0,P200,MP9,,(M),CxBN(M),,TA4 TT9,AT,3 (E),,,CV9 CV10 CV36,,25
3157,,"LIQUEFIED GAS, OXIDIZING, N.O.S.",,2O,2,2.2+5.1,,0,274 662,E0,P200,MP9,,(M),PxBN(M),,TA4 TT9,AT,3 (C/E),,,CV9 CV10 CV36,,25
3158,,"GAS, REFRIGERATED LIQUID, N.O.S.",,3A,2,2.2,,120 mL,274 593,E1,P203,MP9,,T75,RxBN,TP5,TU19 TA4 TT9,AT,3 (C/E),V5,,CV9 CV11 CV36,S20,22
3159,a,"1,1,1,2-TETRAFLUOROETHANE",,2A,2,2.2,,120 mL,662,E1,P200,MP9,,(M) T50,PxBN(M),,TA4 TT9,AT,3 (C/E),,,CV9 CV10 CV36,,20
3159,b,REFRIGERANT GAS R 134a,,2A,2,2.2,,120 mL,662,E1,P200,MP9,,(M) T50,PxBN(M),,TA4 TT9,AT,3 (C/E),,,CV9 CV10 CV36,,20
3160,,"LIQUEFIED GAS, TOXIC, FLAMMABLE, N.O.S.",,2TF,2,2.3+2.1,,0,274,E0,P200,MP9,,(M),PxBH(M),,TU6 TA4 TT9,FL,1 (B/D),,,CV9 CV10 CV36,S2 S14,263
3161,,"LIQUEFIED GAS, FLAMMABLE, N.O.S.",,2F,2,2.1,,0,274 662,E0,P200,MP9,,(M) T50,PxBN(M),,TA4 TT9,FL,2 (B/D),,,CV9 CV10 CV36,S2 S20,23
3162,,"LIQUEFIED GAS, TOXIC, N.O.S.",,2T,2,2.3,,0,274,E0,P200,MP9,,(M),PxBH(M),,TU6 TA4 TT9,AT,1 (C/D),,,CV9 CV10 CV36,S14,26
3163,,"LIQUEFIED GAS, N.O.S.",,2A,2,2.2,,120 mL,274 392 662,E1,P200,MP9,,(M) T50,PxBN(M),,TA4 TT9,AT,3 (C/E),,,CV9 CV10 CV36,,20
3164,a,"ARTICLES, PRESSURIZED, PNEUMATIC",(containing non-flammable gas),6A,2,2.2,,120 mL,283 371 594,E0,P003,MP9,PP32,,,,,,3 (E),,,CV9,,
3164,b,"ARTICLES, PRESSURIZED, HYDRAULIC",(containing non-flammable gas),6A,2,2.2,,120 mL,283 371 594,E0,P003,MP9,PP32,,,,,,3 (E),,,CV9,,
3165,,AIRCRAFT HYDRAULIC POWER UNIT FUEL TANK,(containing a mixture of anhydrous hydrazine and methylhydrazine) (M86 fuel),FTC,3,3+6.1+8,I,0,,E0,P301,MP7,,,,,,,1 (E),,,CV13 CV28,S2 S19,
3166,a,"VEHICLE, FLAMMABLE GAS POWERED",,M11,9,,,,388 666 667 669,,,,,,,,,,- (-),,,,,
3166,b,"VEHICLE, FLAMMABLE LIQUID POWERED",,M11,9,,,,388 666 667 669,,,,,,,,,,- (-),,,,,
3166,c,"VEHICLE, FUEL CELL, FLAMMABLE GAS POWERED",,M11,9,,,,388 666 667 669,,,,,,,,,,- (-),,,,,
3166,d,"VEHICLE, FUEL CELL, FLAMMABLE LIQUID POWERED",,M11,9,,,,388 666 667 669,,,,,,,,,,- (-),,,,,
3167,,"GAS SAMPLE, NON-PRESSURIZED, FLAMMABLE, N.O.S.",not refrigerated liquid,7F,2,2.1,,0,,E0,P201,MP9,,,,,,,2 (D),,,CV9,S2,
3168,,"GAS SAMPLE, NON-PRESSURIZED, TOXIC, FLAMMABLE, N.O.S.",not refrigerated liquid,7TF,2,2.3+2.1,,0,,E0,P201,MP9,,,,,,,1 (D),,,CV9,S2,
3169,,"GAS SAMPLE, NON-PRESSURIZED, TOXIC, N.O.S.",not refrigerated liquid,7T,2,2.3,,0,,E0,P201,MP9,,,,,,,1 (D),,,CV9,,
3170,a,ALUMINIUM SMELTING BY PRODUCTS,,W2,4.3,4.3,II,500 g,244,E2,P410 IBC07,MP14,,T3 BK1 BK2,SGAN,TP33,,AT,2 (D/E),V1,VC1 VC2 AP2,CV23 CV37,,423
3170,b,ALUMINIUM REMELTING BY PRODUCTS,,W2,4.3,4.3,II,500 g,244,E2,P410 IBC07,MP14,,T3 BK1 BK2,SGAN,TP33,,AT,2 (D/E),V1,VC1 VC2 AP2,CV23 CV37,,423
3170,c,ALUMINIUM SMELTING BY PRODUCTS,,W2,4.3,4.3,III,1 kg,244,E1,P002 IBC08 R001,MP14,B4,T1 BK1 BK2,SGAN,TP33,,AT,3 (E),V1,VC1 VC2 AP2,CV23 CV37,,423
3170,d,ALUMINIUM REMELTING BY PRODUCTS,,W2,4.3,4.3,III,1 kg,244,E1,P002 IBC08 R001,MP14,B4,T1 BK1 BK2,SGAN,TP33,,AT,3 (E),V1,VC1 VC2 AP2,CV23 CV37,,423
3171,a,BATTERY-POWERED VEHICLE,,M11,9,,,,388 666 667 669,,,,,,,,,,- (-),,,,,
3171,b,BATTERY-POWERED EQUIPMENT,,M11,9,,,,388 666 667 669,,,,,,,,,,- (-),,,,,
3172,a,"TOXINS, EXTRACTED FROM LIVING SOURCES, LIQUID, N.O.S.",,T1,6.1,6.1,I,0,210 274,E5,P001,MP8 MP17,,,L10CH,,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,66
3172,b,"TOXINS, EXTRACTED FROM LIVING SOURCES, LIQUID, N.O.S.",,T1,6.1,6.1,II,100 mL,210 274,E4,P001 IBC02,MP15,,,L4BH,,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,60
3172,c,"TOXINS, EXTRACTED FROM LIVING SOURCES, LIQUID, N.O.S.",,T1,6.1,6.1,III,5 L,210 274,E1,P001 IBC03 LP01 R001,MP19,,,L4BH,,TU15 TE19,AT,2 (E),V12,,CV13 CV28,S9,60
3174,,TITANIUM DISULPHIDE,,S4,4.2,4.2,III,0,,E1,P002 IBC08 LP02 R001,MP14,B3,T1,SGAN,TP33,,AT,3 (E),V1,,,,40
3175,,"SOLIDS or mixtures of solids (such as preparations and wastes) CONTAINING FLAMMABLE LIQUID, N.O.S.",having a flashpoint up to 60°C,F1,4.1,4.1,II,1 kg,216 274 601,E2,P002 IBC06 R001,MP11,PP9,T3 BK1 BK2,,TP33,,AT,2 (E),V11,VC1 VC2 AP2,,,40
3176,a,"FLAMMABLE SOLID, ORGANIC, MOLTEN, N.O.S.",,F2,4.1,4.1,II,0,274,E0,,,,T3,LGBV,TP3 TP26,TU27 TE4 TE6,AT,2 (E),,,,,44
3176,b,"FLAMMABLE SOLID, ORGANIC, MOLTEN, N.O.S.",,F2,4.1,4.1,III,0,274,E0,,,,T1,LGBV,TP3 TP26,TU27 TE4 TE6,AT,3 (E),,,,,44
3178,a,"FLAMMABLE SOLID, INORGANIC, N.O.S.",,F3,4.1,4.1,II,1 kg,274,E2,P002 IBC08,MP11,B4,T3,SGAN,TP33,,AT,2 (E),V11,,,,40
3178,b,"FLAMMABLE SOLID, INORGANIC, N.O.S.",,F3,4.1,4.1,III,5 kg,274,E1,P002 IBC08 LP02 R001,MP11,B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
3179,a,"FLAMMABLE SOLID, TOXIC, INORGANIC, N.O.S.",,FT2,4.1,4.1+6.1,II,1 kg,274,E2,P002 IBC06,MP10,,T3,SGAN,TP33,,AT,2 (E),V11,,CV28,,46
3179,b,"FLAMMABLE SOLID, TOXIC, INORGANIC, N.O.S.",,FT2,4.1,4.1+6.1,III,5 kg,274,E1,P002 IBC06 R001,MP10,,T1,SGAN,TP33,,AT,3 (E),,,CV28,,46
3180,a,"FLAMMABLE SOLID, CORROSIVE, INORGANIC, N.O.S.",,FC2,4.1,4.1+8,II,1 kg,274,E2,P002 IBC06,MP10,,T3,SGAN,TP33,,AT,2 (E),V11,,,,48
3180,b,"FLAMMABLE SOLID, CORROSIVE, INORGANIC, N.O.S.",,FC2,4.1,4.1+8,III,5 kg,274,E1,P002 IBC06 R001,MP10,,T1,SGAN,TP33,,AT,3 (E),,,,,48
3181,a,"METAL SALTS OF ORGANIC COMPOUNDS, FLAMMABLE, N.O.S.",,F3,4.1,4.1,II,1 kg,274,E2,P002 IBC08,MP11,B4,T3,SGAN,TP33,,AT,2 (E),V11,,,,40
3181,b,"METAL SALTS OF ORGANIC COMPOUNDS, FLAMMABLE, N.O.S.",,F3,4.1,4.1,III,5 kg,274,E1,P002 IBC08 LP02 R001,MP11,B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
3182,a,"METAL HYDRIDES, FLAMMABLE, N.O.S.",,F3,4.1,4.1,II,1 kg,274 554,E2,P410 IBC04,MP11,PP40,T3,SGAN,TP33,,AT,2 (E),,,,,40
3182,b,"METAL HYDRIDES, FLAMMABLE, N.O.S.",,F3,4.1,4.1,III,5 kg,274 554,E1,P002 IBC04 R001,MP11,,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
3183,a,"SELF-HEATING LIQUID, ORGANIC, N.O.S.",,S1,4.2,4.2,II,0,274,E2,P001 IBC02,MP15,,,L4DH,,TU14 TE21,AT,2 (D/E),V1,,,,30
3183,b,"SELF-HEATING LIQUID, ORGANIC, N.O.S.",,S1,4.2,4.2,III,0,274,E1,P001 IBC02 R001,MP15,,,L4DH,,TU14 TE21,AT,3 (E),V1,,,,30
3184,a,"SELF-HEATING LIQUID, TOXIC, ORGANIC, N.O.S.",,ST1,4.2,4.2+6.1,II,0,274,E2,P402 IBC02,MP15,,,L4DH,,TU14 TE21,AT,2 (D/E),V1,,CV28,,36
3184,b,"SELF-HEATING LIQUID, TOXIC, ORGANIC, N.O.S.",,ST1,4.2,4.2+6.1,III,0,274,E1,P001 IBC02 R001,MP15,,,L4DH,,TU14 TE21,AT,3 (E),V1,,CV28,,36
3185,a,"SELF-HEATING LIQUID, CORROSIVE, ORGANIC, N.O.S.",,SC1,4.2,4.2+8,II,0,274,E2,P402 IBC02,MP15,,,L4DH,,TU14 TE21,AT,2 (D/E),V1,,,,38
