"1950","Aerosols, flammable, containing substances in Class 8, Packing Group II",0,0,0,"","","2.1","8","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","10C","AEROSOLSFLAMMABLECONTAININGSUBSTANCESINCLASSPACKINGGROUPII21","Aerosols, flammable, containing substances in Class 8, Packing Group II","hand.gif","","RFG","RCM","","",19281
"1950","Aerosols, flammable, containing substances in Class 8, Packing Group III",0,0,0,"","","2.1","8","Flamm. gas;Corrosive","","Y203","30 kg G","203","75 kg","203","150 kg","A145;A167;A802","10C","AEROSOLSFLAMMABLECONTAININGSUBSTANCESINCLASSPACKINGGROUPIII21","Aerosols, flammable, containing substances in Class 8, Packing Group III","hand.gif","E0","RFG","RCM","","",19291
"","Aerosols, flammable, containing substances in Division 6.1, Packing Group I",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","AEROSOLSFLAMMABLECONTAININGSUBSTANCESINDIVISIONPACKINGGROUPI","","hand.gif","","","","","",46751
"1950","Aerosols, flammable, containing substances in Division 6.1, Packing Group II",0,0,0,"","","2.1","6.1","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","10P","AEROSOLSFLAMMABLECONTAININGSUBSTANCESINDIVISIONPACKINGGROUPII21","Aerosols, flammable, containing substances in Division 6.1, Packing Group II","hand.gif","","RFG","RPB","","",19261
"1950","Aerosols, flammable, containing substances in Division 6.1, Packing Group III",0,0,0,"","","2.1","6.1","Flamm. gas;Toxic","","Y203","30 kg G","203","75 kg","203","150 kg","A145;A167;A802","10P","AEROSOLSFLAMMABLECONTAININGSUBSTANCESINDIVISIONPACKINGGROUPIII21","Aerosols, flammable, containing substances in Division 6.1, Packing Group III","hand.gif","E0","RFG","RPB","","",19271
"1950","Aerosols, flammable, containing substances in Division 6.1, Packing Group III and substances in Class 8, Packing Group III",0,0,0,"","","2.1","6.1 8","Flamm. gas;Toxic;Corrosive","","Y203","30 kg G","203","75 kg","203","150 kg","A145;A167;A802","10CP","AEROSOLSFLAMMABLECONTAININGSUBSTANCESINDIVISIONPACKINGGROUPIIIANDSUBSTANCESINCLASSPACKINGGROUPIII21","Aerosols, flammable, containing substances in Division 6.1, Packing Group III and substances in Class 8, Packing Group III","hand.gif","E0","RFG","RPB","RCM","",19301
"1950","Aerosols, flammable, containing toxic gas",0,0,0,"","","2.3","2.1","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","10P","AEROSOLSFLAMMABLECONTAININGTOXICGAS23","Aerosols, flammable, containing toxic gas","hand.gif","","RPG","RFG","","",19381
"1950","Aerosols, flammable (engine starting fluid)",0,0,0,"","","2.1","","Flamm. gas","","Forbidden","Forbidden","Forbidden","Forbidden","203","150 kg","A1;A145;A167;A802","10L","AEROSOLSFLAMMABLEENGINESTARTINGFLUID21","Aerosols, flammable (engine starting fluid)","hand.gif","E0","RFG","","","AUG-01;BRG-04;CAG-07;HRG-03;IRG-03;KPG-02;MOG-02;NLG-01;OMG-01;USG-03;VEG-01",19441
"1950","Aerosols, non-flammable",0,0,0,"","","2.2","","Non-flamm. gas","","Y203","30 kg G","203","75 kg","203","150 kg","A98;A145;A167;A802","2L","AEROSOLSNONFLAMMABLE22","Aerosols, non-flammable","hand.gif","E0","RNG","","","",19311
"1950","Aerosols, non-flammable",0,0,0,"(containing biological products or a medicinal preparation which will be deteriorated by a heat test)","","2.2","","Non-flamm. gas","","Y203","30 kg G","203","75 kg","203","150 kg","A98;A145;A167;A802","2L","AEROSOLSNONFLAMMABLE22CONTAININGBIOLOGICALPRODUCTSORAMEDICINALPREPARATIONWHICHWILLBEDETERIORATEDBYAHEATTEST","Aerosols, non-flammable","hand.gif","E0","RNG","","","",19321
