unno,var,nameRID,ClassRID,CCodeRID,pgRID,LabRID,spRID,lqRID,eqRID,piRID,ppRID,MixRID,tiRID,tpRID,trRID,sptRID,catRID,sppRID,spbRID,splRID,colisRID,hinRID,qdt
2761,a,"ORGANOCHLORINE PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2761,b,"ORGANOCHLORINE PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2761,c,"ORGANOCHLORINE PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2762,a,"ORGANOCHLORINE PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2762,b,"ORGANOCHLORINE PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2763,a,"TRIAZINE PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2763,b,"TRIAZINE PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2763,c,"TRIAZINE PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2764,a,"TRIAZINE PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2764,b,"TRIAZINE PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2771,a,"THIOCARBAMATE PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2771,b,"THIOCARBAMATE PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2771,c,"THIOCARBAMATE PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2772,a,"THIOCARBAMATE PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2772,b,"THIOCARBAMATE PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2775,a,"COPPER BASED PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2775,b,"COPPER BASED PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2775,c,"COPPER BASED PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2776,a,"COPPER BASED PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2776,b,"COPPER BASED PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2777,a,"MERCURY BASED PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2777,b,"MERCURY BASED PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2777,c,"MERCURY BASED PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2778,a,"MERCURY BASED PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2778,b,"MERCURY BASED PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2779,a,"SUBSTITUTED NITROPHENOL PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2779,b,"SUBSTITUTED NITROPHENOL PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
