unid,var,nameJTT_EN,qdtJTT_EN,nameJTT_ZH,qdtJTT_ZH,ccodeJTT,classJTT,labelJTT,pgJTT,lqJTT,sprovJTT,eqJTT,piJTT,mixpJTT,ppJTT,tiJTT,adrtJTT,tpJTT,adrtpJTT,tankvJTT,tcatJTT,pprovJTT,bprovJTT,lprovJTT,oprovJTT,hintJTT
2924,c,"FLAMMABLE LIQUID, CORROSIVE, N.O.S.",,"易燃液体,腐蚀性的,未另作规定的",,FC,3,3+8,III,5L,274,E1,P001 IBC03 R001,MP19,,T7,L4BN,TP1 TP28,,FL,3 (D/E),V12,,,S2,38
2925,a,"FLAMMABLE SOLID, CORROSIVE, ORGANIC, N.O.S.",,"易燃固体,腐蚀性的,有机的,未另作规定的",,FC1,4.1,4.1+8,II,1kg,274,E2,P002 IBC06,MP10,,T3,SGAN,TP33,,AT,2 (E),V11,,,,48
2925,b,"FLAMMABLE SOLID, CORROSIVE, ORGANIC, N.O.S.",,"易燃固体,腐蚀性的,有机的,未另作规定的",,FC1,4.1,4.1+8,III,5kg,274,E1,P002 IBC06 R001,MP10,,T1,SGAN,TP33,,AT,3 (E),,,,,48
2926,a,"FLAMMABLE SOLID, TOXIC, ORGANIC, N.O.S.",,"易燃固体,有毒的,有机的,未另作规定的",,FT1,4.1,4.1+6.1,II,1kg,274,E2,P002 IBC06,MP10,,T3,SGAN,TP33,,AT,2 (E),V11,,CV28,,46
2926,b,"FLAMMABLE SOLID, TOXIC, ORGANIC, N.O.S.",,"易燃固体,有毒的,有机的,未另作规定的",,FT1,4.1,4.1+6.1,III,5kg,274,E1,P002 IBC06 R001,MP10,,T1,SGAN,TP33,,AT,3 (E),,,CV28,,46
2927,a,"TOXIC LIQUID, CORROSIVE, ORGANIC, N.O.S.",,"有毒液体,腐蚀性的,有机的,未另作规定的",,TC1,6.1,6.1+8,I,0,274 315,E5,P001,MP8 MP17,,T14,L10CH,TP2 TP27,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,668
2927,b,"TOXIC LIQUID, CORROSIVE, ORGANIC, N.O.S.",,"有毒液体,腐蚀性的,有机的,未另作规定的",,TC1,6.1,6.1+8,II,100mL,274,E4,P001 IBC02,MP15,,T11,L4BH,TP2 TP27,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,68
2928,a,"TOXIC SOLID, CORROSIVE, ORGANIC, N.O.S.",,"有毒固体,腐蚀性的,有机的,未另作规定的",,TC2,6.1,6.1+8,I,0,274,E5,P002 IBC05,MP18,,T6,S10AH,TP33,TU14 TU15 TE19 TE21,AT,1 (C/E),V10,,CV1 CV13 CV28,S9 S14,668
2928,b,"TOXIC SOLID, CORROSIVE, ORGANIC, N.O.S.",,"有毒固体,腐蚀性的,有机的,未另作规定的",,TC2,6.1,6.1+8,II,500g,274,E4,P002 IBC06,MP10,,T3,SGAH L4BH,TP33,TU15 TE19,AT,2 (D/E),V11,,CV13 CV28,S9 S19,68
2929,a,"TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.",,"有毒液体,易燃的,有机的,未另作规定的",,TF1,6.1,6.1+3,I,0,274 315,E5,P001,MP8 MP17,,T14,L10CH,TP2 TP27,TU14 TU15 TE19 TE21,FL,1 (C/D),,,CV1 CV13 CV28,S2 S9 S14,663
