TariffCode,AttributeName,AttributeValue
2846109010,COMMODITYTYPE,DGC
2846109090,COMMODITYTYPE,DGC
2846903300,COMMODITYTYPE,DGC
2846909100,COMMODITYTYPE,DGC
2846909200,COMMODITYTYPE,DGC
2846909400,COMMODITYTYPE,DGC
2846909500,COMMODITYTYPE,DGC
2846909690,COMMODITYTYPE,DGC
2846909990,COMMODITYTYPE,DGC
2847000000,COMMODITYTYPE,DGC
2849100000,COMMODITYTYPE,DGC
2849909000,COMMODITYTYPE,DGC
2850001900,COMMODITYTYPE,DGC
2850009010,COMMODITYTYPE,DGC
2850009090,COMMODITYTYPE,DGC
2852100000,COMMODITYTYPE,DGC
2853100000,COMMODITYTYPE,DGC
2853904010,COMMODITYTYPE,DGC
2853904090,COMMODITYTYPE,DGC
2853909021,COMMODITYTYPE,DGC
2853909022,COMMODITYTYPE,DGC
2853909023,COMMODITYTYPE,DGC
2853909090,COMMODITYTYPE,DGC
2901100000,COMMODITYTYPE,DGC
2901210000,COMMODITYTYPE,DGC
2901220000,COMMODITYTYPE,DGC
2901231000,COMMODITYTYPE,DGC
2901232000,COMMODITYTYPE,DGC
2901233000,COMMODITYTYPE,DGC
2901241000,COMMODITYTYPE,DGC
2901242000,COMMODITYTYPE,DGC
2901291000,COMMODITYTYPE,DGC
2901292000,COMMODITYTYPE,DGC
2901299090,COMMODITYTYPE,DGC
2902110000,COMMODITYTYPE,DGC
2902191000,COMMODITYTYPE,DGC
2902199012,COMMODITYTYPE,DGC
2902199090,COMMODITYTYPE,DGC
2902200000,COMMODITYTYPE,DGC
2902300000,COMMODITYTYPE,DGC
2902410000,COMMODITYTYPE,DGC
2902420000,COMMODITYTYPE,DGC
2902430000,COMMODITYTYPE,DGC
2902440000,COMMODITYTYPE,DGC
2902500000,COMMODITYTYPE,DGC
2902600000,COMMODITYTYPE,DGC
2902700000,COMMODITYTYPE,DGC
2902902000,COMMODITYTYPE,DGC
2902909000,COMMODITYTYPE,DGC
2903110000,COMMODITYTYPE,DGC
2903120001,COMMODITYTYPE,DGC
2903120090,COMMODITYTYPE,DGC
2903130000,COMMODITYTYPE,DGC
2903140010,COMMODITYTYPE,DGC
2903140090,COMMODITYTYPE,DGC
2903150000,COMMODITYTYPE,DGC
2903191010,COMMODITYTYPE,DGC
2903191090,COMMODITYTYPE,DGC
2903199000,COMMODITYTYPE,DGC
2903210000,COMMODITYTYPE,DGC
2903220000,COMMODITYTYPE,DGC
2903230000,COMMODITYTYPE,DGC
2903291000,COMMODITYTYPE,DGC
2903299010,COMMODITYTYPE,DGC
2903299090,COMMODITYTYPE,DGC
2903310000,COMMODITYTYPE,DGC
2903391000,COMMODITYTYPE,DGC
2903399010,COMMODITYTYPE,DGC
2903399020,COMMODITYTYPE,DGC
2903399030,COMMODITYTYPE,DGC
2903399090,COMMODITYTYPE,DGC
2921290090,COMMODITYTYPE,DGC
2921300040,COMMODITYTYPE,DGC
2921300090,COMMODITYTYPE,DGC
2921411000,COMMODITYTYPE,DGC
2921419000,COMMODITYTYPE,DGC
2921420020,COMMODITYTYPE,DGC
2921420090,COMMODITYTYPE,DGC
2921430001,COMMODITYTYPE,DGC
2921430020,COMMODITYTYPE,DGC
2921430090,COMMODITYTYPE,DGC
2921440000,COMMODITYTYPE,DGC
2921450010,COMMODITYTYPE,DGC
2921450090,COMMODITYTYPE,DGC
2921492000,COMMODITYTYPE,DGC
2921499020,COMMODITYTYPE,DGC
2921499090,COMMODITYTYPE,DGC
2921511000,COMMODITYTYPE,DGC
2921519020,COMMODITYTYPE,DGC
2921519090,COMMODITYTYPE,DGC
2921590020,COMMODITYTYPE,DGC
2921590031,COMMODITYTYPE,DGC
2921590032,COMMODITYTYPE,DGC
2921590033,COMMODITYTYPE,DGC
2921590090,COMMODITYTYPE,DGC
2922110001,COMMODITYTYPE,DGC
2922120001,COMMODITYTYPE,DGC
2922160000,COMMODITYTYPE,DGC
2922180000,COMMODITYTYPE,DGC
2922192100,COMMODITYTYPE,DGC
2922192210,COMMODITYTYPE,DGC
2922199090,COMMODITYTYPE,DGC
2922291000,COMMODITYTYPE,DGC
2922299090,COMMODITYTYPE,DGC
2922499912,COMMODITYTYPE,DGC
2922499913,COMMODITYTYPE,DGC
2922499915,COMMODITYTYPE,DGC
2922499990,COMMODITYTYPE,DGC
2923300000,COMMODITYTYPE,DGC
2923400000,COMMODITYTYPE,DGC
2923900090,COMMODITYTYPE,DGC
2924120010,COMMODITYTYPE,DGC
2924120090,COMMODITYTYPE,DGC
2924191000,COMMODITYTYPE,DGC
2924199012,COMMODITYTYPE,DGC
2924199040,COMMODITYTYPE,DGC
2924199090,COMMODITYTYPE,DGC
2924250000,COMMODITYTYPE,DGC
2924299012,COMMODITYTYPE,DGC
2924299013,COMMODITYTYPE,DGC
2924299014,COMMODITYTYPE,DGC
2924299018,COMMODITYTYPE,DGC
2924299038,COMMODITYTYPE,DGC
2924299099,COMMODITYTYPE,DGC
2925190090,COMMODITYTYPE,DGC
2925210000,COMMODITYTYPE,DGC
2925290012,COMMODITYTYPE,DGC
2925290090,COMMODITYTYPE,DGC
2926100000,COMMODITYTYPE,DGC
2926909020,COMMODITYTYPE,DGC
2926909031,COMMODITYTYPE,DGC
2926909032,COMMODITYTYPE,DGC
2926909090,COMMODITYTYPE,DGC
2927000090,COMMODITYTYPE,DGC
2928000010,COMMODITYTYPE,DGC
2928000020,COMMODITYTYPE,DGC
2928000090,COMMODITYTYPE,DGC
2929101000,COMMODITYTYPE,DGC
2929103000,COMMODITYTYPE,DGC
2929104000,COMMODITYTYPE,DGC
2929109000,COMMODITYTYPE,DGC
2929909012,COMMODITYTYPE,DGC
2929909013,COMMODITYTYPE,DGC
2929909090,COMMODITYTYPE,DGC
2930200012,COMMODITYTYPE,DGC
2930200016,COMMODITYTYPE,DGC
2930300010,COMMODITYTYPE,DGC
2930800010,COMMODITYTYPE,DGC
2930800020,COMMODITYTYPE,DGC
2930800030,COMMODITYTYPE,DGC
2930902000,COMMODITYTYPE,DGC
2930909028,COMMODITYTYPE,DGC
2930909052,COMMODITYTYPE,DGC
2930909053,COMMODITYTYPE,DGC
2930909055,COMMODITYTYPE,DGC
2930909056,COMMODITYTYPE,DGC
2930909058,COMMODITYTYPE,DGC
2930909059,COMMODITYTYPE,DGC
2930909061,COMMODITYTYPE,DGC
2930909062,COMMODITYTYPE,DGC
2930909063,COMMODITYTYPE,DGC
2930909064,COMMODITYTYPE,DGC
2930909065,COMMODITYTYPE,DGC
2930909066,COMMODITYTYPE,DGC
2930909067,COMMODITYTYPE,DGC
2930909099,COMMODITYTYPE,DGC
2931100000,COMMODITYTYPE,DGC
2931200000,COMMODITYTYPE,DGC
2931399021,COMMODITYTYPE,DGC
2931399090,COMMODITYTYPE,DGC
2931900014,COMMODITYTYPE,DGC
2931900015,COMMODITYTYPE,DGC
2931900016,COMMODITYTYPE,DGC
2931900017,COMMODITYTYPE,DGC
2931900018,COMMODITYTYPE,DGC
2931900019,COMMODITYTYPE,DGC
2931900021,COMMODITYTYPE,DGC
2931900022,COMMODITYTYPE,DGC
2931900023,COMMODITYTYPE,DGC
2931900024,COMMODITYTYPE,DGC
2931900025,COMMODITYTYPE,DGC
2931900026,COMMODITYTYPE,DGC
2931900027,COMMODITYTYPE,DGC
2931900028,COMMODITYTYPE,DGC
2931900090,COMMODITYTYPE,DGC
2932110000,COMMODITYTYPE,DGC
2932120000,COMMODITYTYPE,DGC
2932130000,COMMODITYTYPE,DGC
2932190090,COMMODITYTYPE,DGC
2932209011,COMMODITYTYPE,DGC
2932209013,COMMODITYTYPE,DGC
2932209090,COMMODITYTYPE,DGC
2932999011,COMMODITYTYPE,DGC
2932999013,COMMODITYTYPE,DGC
2932999060,COMMODITYTYPE,DGC
