"Sender","Recipient","Interface"
"YASYJPTRN_CHG","YASYJPTRN","Flat File- Import YJP Air Imp. Ship.Charges+Costs1"
"YASYJPADR_CHG","YASYJPADR","Flat File- Import YJP Air Imp. Ship.Charges+Costs1"
"YASYJPPRD_CHG","YASYJPPRD","Flat File- Import YJP Air Imp. Ship.Charges+Costs2"
"YASYJPTST_CHG","YASYJPTST","Flat File- Import YJP Air Imp. Ship.Charges+Costs2"
"YASYJPTRN_CHG","YASYJPTRN","Flat File- Import YJP Air Imp. Ship.Charges+Costs2"
"YASYJPADR_CHG","YASYJPADR","Flat File- Import YJP Air Imp. Ship.Charges+Costs2"
"CCSJ","YASYJPPRD_FSU","FSU - Copy for FSU"
"Delta","YASYJPPRD_FSU","FSU - Copy for FSU"
"UA","YASYJPPRD_FSU","FSU - Copy for FSU"
"CCSJ","YASYJPTRN_FSU","FSU - Copy for FSU"
"Delta","YASYJPTRN_FSU","FSU - Copy for FSU"
"UA","YASYJPTRN_FSU","FSU - Copy for FSU"
"CCSJ","YASYJPADR_FSU","FSU - Copy for FSU"
"Delta","YASYJPADR_FSU","FSU - Copy for FSU"
"UA","YASYJPADR_FSU","FSU - Copy for FSU"
